Date,open,high,low,close
31/01/2018,10108.2002,10381.59961,9777.419922,10221.09961
01/02/2018,10237.29981,10288.79981,8812.280273,9170.540039
02/02/2018,9142.280273,9142.280273,7796.490234,8830.75
03/02/2018,8852.120117,9430.75,8251.629883,9174.910156
04/02/2018,9175.700195,9334.870117,8031.220215,8277.009766
05/02/2018,8270.540039,8364.839844,6756.680176,6955.27002
06/02/2018,7051.75,7850.700195,6048.259766,7754
07/02/2018,7755.490234,8509.110352,7236.790039,7621.299805
08/02/2018,7637.859863,8558.769531,7637.859863,8265.589844
09/02/2018,8271.839844,8736.980469,7884.709961,8736.980469
10/02/2018,8720.080078,9122.549805,8295.469727,8621.900391
11/02/2018,8616.129883,8616.129883,7931.100098,8129.970215
12/02/2018,8141.430176,8985.919922,8141.430176,8926.570313
13/02/2018,8926.719727,8958.469727,8455.410156,8598.30957
14/02/2018,8599.919922,9518.540039,8599.919922,9494.629883
15/02/2018,9488.320313,10234.79981,9395.580078,10166.40039
16/02/2018,10135.7002,10324.09961,9824.820313,10233.90039
17/02/2018,10207.5,11139.5,10149.40039,11112.7002
18/02/2018,11123.40039,11349.79981,10326,10551.79981
19/02/2018,10552.59961,11273.79981,10513.2002,11225.29981
20/02/2018,11231.79981,11958.5,11231.79981,11403.7002
21/02/2018,11372.2002,11418.5,10479.09961,10690.40039
22/02/2018,10660.40039,11039.09961,9939.089844,10005
23/02/2018,9937.070313,10487.29981,9734.55957,10301.09961
24/02/2018,10287.7002,10597.2002,9546.969727,9813.070313
25/02/2018,9796.419922,9923.219727,9407.05957,9664.730469
26/02/2018,9669.429688,10475,9501.730469,10366.7002
27/02/2018,10393.90039,10878.5,10246.09961,10725.59961
28/02/2018,10687.2002,11089.79981,10393.09961,10397.90039
01/03/2018,10385,11052.29981,10352.7002,10951
02/03/2018,10977.40039,11189,10850.09961,11086.40039
03/03/2018,11101.90039,11528.2002,11002.40039,11489.7002
04/03/2018,11497.40039,11512.59961,11136.09961,11512.59961
05/03/2018,11532.40039,11704.09961,11443.90039,11573.29981
06/03/2018,11500.09961,11500.09961,10694.29981,10779.90039
07/03/2018,10803.90039,10929.5,9692.120117,9965.570313
08/03/2018,9951.44043,10147.40039,9335.870117,9395.009766
09/03/2018,9414.69043,9466.349609,8513.030273,9337.549805
10/03/2018,9350.589844,9531.320313,8828.469727,8866
11/03/2018,8852.780273,9711.889648,8607.120117,9578.629883
12/03/2018,9602.929688,9937.5,8956.429688,9205.120117
13/03/2018,9173.040039,9470.379883,8958.19043,9194.849609
14/03/2018,9214.650391,9355.849609,8068.589844,8269.80957
15/03/2018,8290.759766,8428.349609,7783.049805,8300.860352
16/03/2018,8322.910156,8585.150391,8005.310059,8338.349609
17/03/2018,8321.910156,8346.530273,7812.819824,7916.879883
18/03/2018,7890.52002,8245.509766,7397.990234,8223.679688
19/03/2018,8344.120117,8675.870117,8182.399902,8630.650391
20/03/2018,8619.669922,9051.019531,8389.889648,8913.469727
21/03/2018,8937.480469,9177.370117,8846.330078,8929.280273
22/03/2018,8939.44043,9100.709961,8564.900391,8728.469727
23/03/2018,8736.25,8879.620117,8360.620117,8879.620117
24/03/2018,8901.950195,8996.179688,8665.700195,8668.120117
25/03/2018,8612.80957,8682.009766,8449.099609,8495.780273
26/03/2018,8498.469727,8530.080078,7921.430176,8209.400391
27/03/2018,8200,8232.780273,7797.279785,7833.040039
28/03/2018,7836.830078,8122.890137,7809.169922,7954.47998
29/03/2018,7979.069824,7994.330078,7081.379883,7165.700195
30/03/2018,7171.450195,7276.660156,6683.930176,6890.52002
31/03/2018,6892.47998,7207.850098,6863.52002,6973.529785
01/04/2018,7003.060059,7060.950195,6526.870117,6844.22998
02/04/2018,6844.859863,7135.470215,6816.580078,7083.799805
03/04/2018,7102.259766,7530.939941,7072.490234,7456.109863
04/04/2018,7456.410156,7469.879883,6803.879883,6853.839844
05/04/2018,6848.649902,6933.819824,6644.799805,6811.470215
06/04/2018,6815.959961,6857.490234,6575,6636.319824
07/04/2018,6630.509766,7050.540039,6630.509766,6911.089844
08/04/2018,6919.97998,7111.560059,6919.97998,7023.52002
09/04/2018,7044.319824,7178.109863,6661.990234,6770.72998
10/04/2018,6795.439941,6872.410156,6704.149902,6834.759766
11/04/2018,6843.470215,6968.319824,6817.589844,6968.319824
12/04/2018,6955.379883,7899.22998,6806.509766,7889.25
13/04/2018,7901.089844,8183.959961,7758.930176,7895.959961
14/04/2018,7874.669922,8140.709961,7846,7986.240234
15/04/2018,7999.330078,8338.419922,7999.330078,8329.110352
16/04/2018,8337.570313,8371.150391,7925.72998,8058.669922
17/04/2018,8071.660156,8285.959961,7881.720215,7902.089844
18/04/2018,7944.430176,8197.799805,7886.009766,8163.419922
19/04/2018,8159.27002,8298.69043,8138.779785,8294.30957
20/04/2018,8286.879883,8880.230469,8244.540039,8845.830078
21/04/2018,8848.790039,8997.570313,8652.150391,8895.580078
22/04/2018,8925.05957,9001.639648,8779.610352,8802.459961
23/04/2018,8794.389648,8958.549805,8788.80957,8930.879883
24/04/2018,8934.339844,9732.610352,8927.830078,9697.5
25/04/2018,9701.030273,9745.320313,8799.839844,8845.740234
26/04/2018,8867.320313,9281.509766,8727.089844,9281.509766
27/04/2018,9290.629883,9375.469727,8987.049805,8987.049805
28/04/2018,8939.269531,9412.089844,8931.990234,9348.480469
29/04/2018,9346.410156,9531.490234,9193.709961,9419.080078
30/04/2018,9426.110352,9477.139648,9166.80957,9240.549805
01/05/2018,9251.469727,9255.879883,8891.049805,9119.009766
02/05/2018,9104.599609,9256.519531,9015.139648,9235.919922
03/05/2018,9233.969727,9798.330078,9188.150391,9743.860352
04/05/2018,9695.5,9779.200195,9585.959961,9700.759766
05/05/2018,9700.280273,9964.5,9695.120117,9858.150391
06/05/2018,9845.30957,9940.139648,9465.25,9654.799805
07/05/2018,9645.669922,9665.849609,9231.530273,9373.009766
08/05/2018,9380.870117,9462.75,9127.769531,9234.820313
09/05/2018,9223.730469,9374.759766,9031.620117,9325.179688
10/05/2018,9325.959961,9396.040039,9040.519531,9043.94043
11/05/2018,9052.959961,9052.959961,8394.459961,8441.490234
12/05/2018,8441.44043,8664.860352,8223.5,8504.889648
13/05/2018,8515.490234,8773.549805,8395.120117,8723.94043
14/05/2018,8713.099609,8881.120117,8367.969727,8716.790039
15/05/2018,8705.19043,8836.19043,8456.450195,8510.379883
16/05/2018,8504.410156,8508.429688,8175.490234,8368.830078
17/05/2018,8370.049805,8445.540039,8054.120117,8094.319824
18/05/2018,8091.830078,8274.120117,7974.819824,8250.969727
19/05/2018,8255.730469,8372.05957,8183.350098,8247.179688
20/05/2018,8246.990234,8562.410156,8205.240234,8513.25
21/05/2018,8522.330078,8557.519531,8365.120117,8418.990234
22/05/2018,8419.870117,8423.25,8004.580078,8041.779785
23/05/2018,8037.080078,8054.660156,7507.879883,7557.819824
24/05/2018,7561.120117,7738.600098,7331.140137,7587.339844
25/05/2018,7592.299805,7659.140137,7392.649902,7480.140137
26/05/2018,7486.47998,7595.160156,7349.120117,7355.879883
27/05/2018,7362.080078,7381.740234,7270.959961,7368.220215
28/05/2018,7371.310059,7419.049805,7100.890137,7135.990234
29/05/2018,7129.459961,7526.419922,7090.680176,7472.589844
30/05/2018,7469.72998,7573.77002,7313.600098,7406.52002
31/05/2018,7406.149902,7608.899902,7361.129883,7494.169922
01/06/2018,7500.700195,7604.72998,7407.339844,7541.450195
02/06/2018,7536.720215,7695.830078,7497.259766,7643.450195
03/06/2018,7632.089844,7754.890137,7613.040039,7720.25
04/06/2018,7722.529785,7753.819824,7474.040039,7514.470215
05/06/2018,7500.899902,7643.22998,7397,7633.759766
06/06/2018,7625.970215,7680.430176,7502.009766,7653.97998
07/06/2018,7650.819824,7741.27002,7650.819824,7678.240234
08/06/2018,7685.140137,7698.189941,7558.399902,7624.919922
09/06/2018,7632.52002,7683.580078,7531.97998,7531.97998
10/06/2018,7499.549805,7499.549805,6709.069824,6786.02002
11/06/2018,6799.290039,6910.180176,6706.629883,6906.919922
12/06/2018,6905.819824,6907.959961,6542.080078,6582.359863
13/06/2018,6596.879883,6631.660156,6285.629883,6349.899902
14/06/2018,6342.75,6707.140137,6334.459961,6675.350098
15/06/2018,6674.080078,6681.080078,6433.870117,6456.580078
16/06/2018,6455.450195,6592.490234,6402.290039,6550.160156
17/06/2018,6545.529785,6589.109863,6499.27002,6499.27002
18/06/2018,6510.069824,6781.140137,6446.680176,6734.819824
19/06/2018,6742.390137,6822.5,6709.919922,6769.939941
20/06/2018,6770.759766,6821.560059,6611.879883,6776.549805
21/06/2018,6780.089844,6810.939941,6715.169922,6729.740234
22/06/2018,6737.879883,6747.080078,6006.600098,6083.689941
23/06/2018,6090.100098,6224.819824,6071.810059,6162.47998
24/06/2018,6164.279785,6223.779785,5826.410156,6173.22998
25/06/2018,6171.970215,6327.370117,6119.680176,6249.180176
26/06/2018,6253.549805,6290.160156,6093.669922,6093.669922
27/06/2018,6084.399902,6180,6052.850098,6157.129883
28/06/2018,6153.160156,6170.410156,5873.049805,5903.439941
29/06/2018,5898.129883,6261.660156,5835.75,6218.299805
30/06/2018,6214.220215,6465.509766,6214.220215,6404
01/07/2018,6411.680176,6432.850098,6289.290039,6385.819824
02/07/2018,6380.379883,6683.859863,6305.700195,6614.180176
03/07/2018,6596.660156,6671.370117,6447.75,6529.589844
04/07/2018,6550.870117,6771.919922,6450.459961,6597.549805
05/07/2018,6599.709961,6749.540039,6546.649902,6639.140137
06/07/2018,6638.689941,6700.939941,6533.549805,6673.5
07/07/2018,6668.709961,6863.990234,6579.240234,6856.930176
08/07/2018,6857.799805,6885.910156,6747.97998,6773.879883
09/07/2018,6775.080078,6838.680176,6724.339844,6741.75
10/07/2018,6739.209961,6767.740234,6320.720215,6329.950195
11/07/2018,6330.77002,6444.959961,6330.470215,6394.709961
12/07/2018,6396.779785,6397.100098,6136.419922,6228.810059
13/07/2018,6235.029785,6310.549805,6192.240234,6238.049805
14/07/2018,6247.5,6298.189941,6212.220215,6276.120117
15/07/2018,6272.700195,6403.459961,6256.509766,6359.640137
16/07/2018,6357.009766,6741.75,6357.009766,6741.75
17/07/2018,6739.649902,7387.240234,6684.169922,7321.040039
18/07/2018,7315.319824,7534.990234,7280.470215,7370.779785
19/07/2018,7378.200195,7494.459961,7295.459961,7466.859863
20/07/2018,7467.399902,7594.669922,7323.259766,7354.129883
21/07/2018,7352.720215,7437.640137,7262.410156,7419.290039
22/07/2018,7417.799805,7537.950195,7383.819824,7418.490234
23/07/2018,7414.709961,7771.5,7409.100098,7711.109863
